河南省洛阳市,410300
河南省三门峡市,411200
河南省漯河市,411100
河南省许昌市,411000
河南省南阳市,411300
河南省信阳市,411500
河南省济源市,419001
河南省濮阳市,410900
河南省驻马店市,411700
河南省鹤壁市,410600
河南省郑州市,410100
河南省焦作市,410800
河南省周口市,411600
河南省新乡市,410700
河南省安阳市,410500
河南省平顶山市,410400
河南省开封市,410200
河南省商丘市,411400
广东省汕头市,440500
广东省佛山市,440600
广东省肇庆市,441200
广东省惠州市,441300
广东省深圳市,440300
广东省珠海市,440400
广东省湛江市,440800
广东省云浮市,445300
广东省阳江市,441700
广东省潮州市,445100
广东省梅州市,441400
广东省江门市,440700
广东省汕尾市,441500
广东省茂名市,440900
广东省揭阳市,445200
广东省河源市,441600
广东省广州市,440100
广东省韶关市,440200
广东省清远市,441800
广东省中山市,442000
广东省东莞市,441900
内蒙古自治区呼伦贝尔市,150700
内蒙古自治区乌海市,150300
内蒙古自治区包头市,150200
内蒙古自治区巴彦淖尔市,150800
内蒙古自治区阿拉善盟,152900
内蒙古自治区通辽市,150500
内蒙古自治区兴安盟,152200
内蒙古自治区锡林郭勒盟,152500
内蒙古自治区呼和浩特市,150100
内蒙古自治区赤峰市,150400
内蒙古自治区乌兰察布市,150900
内蒙古自治区鄂尔多斯市,150600
黑龙江省伊春市,230700
黑龙江省鹤岗市,230400
黑龙江省七台河市,230900
黑龙江省大兴安岭地区,232700
黑龙江省哈尔滨市,230100
黑龙江省绥化市,231200
黑龙江省齐齐哈尔市,230200
黑龙江省鸡西市,230300
黑龙江省大庆市,230600
黑龙江省佳木斯市,230800
黑龙江省双鸭山市,230500
黑龙江省黑河市,231100
黑龙江省牡丹江市,231000
新疆维吾尔自治区北屯市,659005
新疆维吾尔自治区可克达拉市,659008
新疆维吾尔自治区昆玉市,659009
新疆维吾尔自治区双河市,659007
新疆维吾尔自治区和田地区,653200
新疆维吾尔自治区博尔塔拉蒙古自治州,652700
新疆维吾尔自治区塔城地区,654200
新疆维吾尔自治区铁门关市,659006
新疆维吾尔自治区阿勒泰地区,654300
新疆维吾尔自治区巴音郭楞蒙古自治州,652800
新疆维吾尔自治区昌吉回族自治州,652300
新疆维吾尔自治区石河子市,659001
新疆维吾尔自治区五家渠市,659004
新疆维吾尔自治区乌鲁木齐市,650100
新疆维吾尔自治区伊犁哈萨克自治州,654000
新疆维吾尔自治区阿拉尔市,659002
新疆维吾尔自治区喀什地区,653100
新疆维吾尔自治区阿克苏地区,652900
新疆维吾尔自治区图木舒克市,659003
新疆维吾尔自治区哈密市,650500
新疆维吾尔自治区克孜勒苏柯尔克孜自治州,653000
新疆维吾尔自治区吐鲁番市,650400
新疆维吾尔自治区克拉玛依市,650200
新疆维吾尔自治区胡杨河市,650000
湖北省武汉市,420100
湖北省十堰市,420300
湖北省黄冈市,421100
湖北省天门市,429006
湖北省襄阳市,420600
湖北省宜昌市,420500
湖北省孝感市,420900
湖北省潜江市,429005
湖北省荆门市,420800
湖北省荆州市,421000
湖北省恩施土家族苗族自治州,422800
湖北省咸宁市,421200
湖北省仙桃市,429004
湖北省随州市,421300
湖北省神农架林区,429021
湖北省黄石市,420200
湖北省鄂州市,420700
辽宁省葫芦岛市,211400
辽宁省大连市,210200
辽宁省锦州市,210700
辽宁省铁岭市,211200
辽宁省丹东市,210600
辽宁省阜新市,210900
辽宁省抚顺市,210400
辽宁省盘锦市,211100
辽宁省沈阳市,210100
辽宁省营口市,210800
辽宁省本溪市,210500
辽宁省朝阳市,211300
辽宁省鞍山市,210300
辽宁省辽阳市,211000
山东省烟台市,370600
山东省威海市,371000
山东省聊城市,371500
山东省临沂市,371300
山东省青岛市,370200
山东省淄博市,370300
山东省滨州市,371600
山东省东营市,370500
山东省潍坊市,370700
山东省日照市,371100
山东省枣庄市,370400
山东省济南市,370100
山东省菏泽市,371700
山东省泰安市,370900
山东省德州市,371400
山东省济宁市,370800
陕西省铜川市,610200
陕西省商洛市,611000
陕西省榆林市,610800
陕西省汉中市,610700
陕西省延安市,610600
陕西省安康市,610900
陕西省西安市,610100
陕西省咸阳市,610400
陕西省宝鸡市,610300
陕西省渭南市,610500
上海市上海城区,310000
贵州省遵义市,520300
贵州省黔南布依族苗族自治州,522700
贵州省黔西南布依族苗族自治州,522300
贵州省安顺市,520400
贵州省六盘水市,520200
贵州省铜仁市,520600
贵州省黔东南苗族侗族自治州,522600
贵州省毕节市,520500
贵州省贵阳市,520100
重庆市重庆郊县,500000
重庆市重庆城区,500000
西藏自治区日喀则市,540200
西藏自治区拉萨市,540100
西藏自治区阿里地区,542500
西藏自治区林芝市,540400
西藏自治区昌都市,540300
西藏自治区那曲市,540000
西藏自治区山南市,540500
安徽省马鞍山市,340500
安徽省阜阳市,341200
安徽省淮北市,340600
安徽省铜陵市,340700
安徽省黄山市,341000
安徽省池州市,341700
安徽省安庆市,340800
安徽省蚌埠市,340300
安徽省滁州市,341100
安徽省宣城市,341800
安徽省宿州市,341300
安徽省淮南市,340400
安徽省芜湖市,340200
安徽省亳州市,341600
安徽省合肥市,340100
安徽省六安市,341500
福建省莆田市,350300
福建省厦门市,350200
福建省漳州市,350600
福建省宁德市,350900
福建省福州市,350100
福建省泉州市,350500
福建省南平市,350700
福建省龙岩市,350800
福建省三明市,350400
湖南省怀化市,431200
湖南省湘西土家族苗族自治州,433100
湖南省张家界市,430800
湖南省岳阳市,430600
湖南省衡阳市,430400
湖南省长沙市,430100
湖南省常德市,430700
湖南省湘潭市,430300
湖南省株洲市,430200
湖南省邵阳市,430500
湖南省郴州市,431000
湖南省永州市,431100
湖南省益阳市,430900
湖南省娄底市,431300
海南省昌江黎族自治县,469026
海南省临高县,469024
海南省屯昌县,469022
海南省东方市,469007
海南省琼海市,469002
海南省白沙黎族自治县,469025
海南省定安县,469021
海南省万宁市,469006
海南省琼中黎族苗族自治县,469030
海南省陵水黎族自治县,469028
海南省乐东黎族自治县,469027
海南省儋州市,460400
海南省澄迈县,469023
海南省文昌市,469005
海南省三亚市,460200
海南省三沙市,460300
海南省海口市,460100
海南省五指山市,469001
海南省保亭黎族苗族自治县,469029
江苏省连云港市,320700
江苏省南通市,320600
江苏省淮安市,320800
江苏省盐城市,320900
江苏省扬州市,321000
江苏省宿迁市,321300
江苏省镇江市,321100
江苏省南京市,320100
江苏省泰州市,321200
江苏省常州市,320400
江苏省无锡市,320200
江苏省苏州市,320500
江苏省徐州市,320300
青海省海东市,630200
青海省海南藏族自治州,632500
青海省海西蒙古族藏族自治州,632800
青海省黄南藏族自治州,632300
青海省玉树藏族自治州,632700
青海省果洛藏族自治州,632600
青海省西宁市,630100
青海省海北藏族自治州,632200
广西壮族自治区北海市,450500
广西壮族自治区南宁市,450100
广西壮族自治区钦州市,450700
广西壮族自治区柳州市,450200
广西壮族自治区百色市,451000
广西壮族自治区梧州市,450400
广西壮族自治区桂林市,450300
